"","Phylum","Family","read_count_Church","read_count_Wells"
"1"," Acidobacteriota"," Blastocatellaceae_430966",83,258
"2"," Acidobacteriota"," Bryobacteraceae",3,19
"3"," Acidobacteriota"," Pyrinomonadaceae_426821",17,65
"4"," Acidobacteriota"," Pyrinomonadaceae_431435",12,11
"5"," Acidobacteriota"," SbA1",0,37
"6"," Acidobacteriota"," UBA7656",8,66
"7"," Actinobacteriota"," Ilumatobacteraceae",0,16
"8"," Actinobacteriota"," Kineosporiaceae",86,183
"9"," Actinobacteriota"," Microbacteriaceae",298,54
"10"," Actinobacteriota"," Micromonosporaceae",10,23
"11"," Actinobacteriota"," Mycobacteriaceae",150,118
"12"," Actinobacteriota"," Nocardioidaceae",2,23
"13"," Actinobacteriota"," SZUA-35",26,86
"14"," Actinobacteriota"," Sporichthyaceae",12,0
"15"," Bacteroidota"," ",0,17
"16"," Bacteroidota"," Chitinophagaceae_966727",8,124
"17"," Bacteroidota"," Cyclobacteriaceae_900466",3,13
"18"," Bacteroidota"," Flavobacteriaceae",16,39
"19"," Bacteroidota"," Marinilabiliaceae",14739,8596
"20"," Bacteroidota"," Saprospiraceae",36,28
"21"," Bacteroidota"," Spirosomaceae",6,178
"22"," Bacteroidota"," Weeksellaceae",0,13
"23"," Bdellovibrionota_E"," ",0,18
"24"," Bdellovibrionota_E"," SG-bin7",11,15
"25"," Chloroflexota"," Caldilineaceae",73,72
"26"," Cyanobacteria"," ",14,220
"27"," Cyanobacteria"," CACIAM-69d",7,14
"28"," Cyanobacteria"," Coleofasciculaceae_23353",255,339
"29"," Cyanobacteria"," Leptolyngbyaceae",0,19
"30"," Cyanobacteria"," Microcoleaceae",0,28
"31"," Cyanobacteria"," Microcystaceae_A_24131",681,0
"32"," Cyanobacteria"," Nostocaceae_26365",46,21
"33"," Cyanobacteria"," Nostocaceae_28012",418,552
"34"," Gemmatimonadota"," Gemmatimonadaceae",11,3
"35"," Patescibacteria"," ",47,122
"36"," Patescibacteria"," SZUA-47",8,73
"37"," Patescibacteria"," UBA1547",0,16
"38"," Planctomycetota"," Lacipirellulaceae",75,117
"39"," Planctomycetota"," Planctomycetaceae",54,61
"40"," Planctomycetota"," Tepidisphaeraceae",44,0
"41"," Proteobacteria"," ",0,47
"42"," Proteobacteria"," Acetobacteraceae",101,32
"43"," Proteobacteria"," Aestuariivirgaceae",134,82
"44"," Proteobacteria"," Beijerinckiaceae",168,43
"45"," Proteobacteria"," Burkholderiaceae_A_580492",0,16
"46"," Proteobacteria"," Burkholderiaceae_A_592522",264,2309
"47"," Proteobacteria"," Caulobacteraceae",72,142
"48"," Proteobacteria"," Cellvibrionaceae",0,14
"49"," Proteobacteria"," Devosiaceae",85,23
"50"," Proteobacteria"," Hyphomicrobiaceae",488,577
"51"," Proteobacteria"," Hyphomonadaceae",47,96
"52"," Proteobacteria"," Methylophilaceae",85,212
"53"," Proteobacteria"," Phreatobacteraceae",35,0
"54"," Proteobacteria"," Pleomorphomonadaceae",75,182
"55"," Proteobacteria"," Reyranellaceae",0,13
"56"," Proteobacteria"," Rhizobiaceae_A_499470",2,72
"57"," Proteobacteria"," Rhizobiaceae_A_500472",71,46
"58"," Proteobacteria"," Rhizobiaceae_A_501059",689,79
"59"," Proteobacteria"," Rhizobiaceae_A_501186",6,11
"60"," Proteobacteria"," Rhodobacteraceae",840,1697
"61"," Proteobacteria"," Sphingomonadaceae",378,750
"62"," Proteobacteria"," Steroidobacteraceae",85,173
"63"," Proteobacteria"," TH1-2",2,19
"64"," Proteobacteria"," Thiotrichaceae_608018",0,25
"65"," Proteobacteria"," Xanthobacteraceae_503485",4,20
"66"," Proteobacteria"," Xanthomonadaceae_616009",50,33
"67"," Verrucomicrobiota"," Akkermansiaceae",598,347
"68"," Verrucomicrobiota"," Chthoniobacteraceae",65,36
"69"," Verrucomicrobiota"," Terrimicrobiaceae",56,0
"70"," Verrucomicrobiota"," UBA11358",13,45
"71"," Verrucomicrobiota"," Verrucomicrobiaceae",773,743
